Economy,region,incomegroup,Year,Ease_of_Doing_Business_Rank,Overall_DTF,Starting_a_Business_Rank,Starting_a_Business_DTF,Starting_a_Business_Procedure_Men_(number),Starting_a_Business_Time_Men_(days),Starting_a_Business_Cost_Men_(%_of_income_per_capita),Starting_a_Business_Procedure_Women_(number),Starting_a_Business_Time_Women_(days),Starting_a_Business_Cost_Women_(%_of_income_per_capita),Starting_a_Business_Paid_in_min._capital_(%_of_income_per_capita),Dealing_with_Construction_Permits_Rank,Dealing_with_Construction_Permits_DTF,Dealing_with_Construction_Permits_Procedures_(number),Dealing_with_Construction_Permits_Time_(days),Dealing_with_Construction_Permits_Cost_(%_of_warehouse_value),Dealing_with_Construction_Permits_Building_quality_control_index_(0_15),Dealing_with_Construction_Permits_Quality_of_building_regulations_index_(0_2),Dealing_with_Construction_Permits_Quality_control_before_construction_index_(0_1),Dealing_with_Construction_Permits_Quality_control_during_construction_index_(0_3),Dealing_with_Construction_Permits_Quality_control_after_construction_index_(0_3),Dealing_with_Construction_Permits_Liability_and_insurance_regimes_index_(0_2),Dealing_with_Construction_Permits_Professional_certifications_index_(0_4),Getting_Electricity_Rank,Getting_Electricity_DTF,Getting_Electricity_Procedures_(number),Getting_Electricity_Time_(days),Getting_Electricity_Cost_(%_of_income_per_capita),Getting_Electricity_Reliability_of_supply_and_transparency_of_tariff_index_(0_8),Getting_Electricity_Total_duration_and_frequency_of_outages_per_customer_a_year_(0_3),Getting_Electricity_Mechanisms_for_monitoring_outages_(0_1),Getting_Electricity_Mechanisms_for_restoring_service_(0_1),Getting_Electricity_Regulatory_monitoring_(0_1),Getting_Electricity_Financial_deterrents_aimed_at_limiting_outages_(0_1),Getting_Electricity_Communication_of_tariffs_and_tariff_changes_(0_1),Getting_Electricity_Price_of_electricity_(US_cents_per_kWh),Registering_Property_Rank,Registering_Property_DTF,Registering_Property_Procedures_(number),Registering_Property_Time_(days),Registering_Property_Cost_(%_of_property_value),Registering_Property_Quality_of_the_land_administration_index_(0_30),Registering_Property_Reliability_of_infrastructure_index_(0_8),Registering_Property_Transparency_of_information_index_(0_6),Registering_Property_Geographic_coverage_index_(0_8),Registering_Property_Land_dispute_resolution_index_(0_8),Registering_Property_Equal_access_to_property_rights_index_(_2_0),Getting_Credit_Rank,Getting_Credit_DTF,Getting_Credit_Strength_of_legal_rights_index_(0_12),Getting_Credit_Strength_of_legal_rights_index_(0_10)_old_methodology,Getting_Credit_Depth_of_credit_information_index_(0_8),Getting_Credit_Depth_of_credit_information_index_(0_6)_old_methodology,Getting_Credit_Credit_registry_coverage_(%_of_adults),Getting_Credit_Credit_bureau_coverage_(%_of_adults),Protecting_Minority_Investors_Rank,Protecting_Minority_Investors_DTF,Protecting_Minority_Investors_Strength_of_minority_investor_protection_index_(0_10),Protecting_Minority_Investors_Strength_of_investor_protection_index_(0_10)_old_methodology,Protecting_Minority_Investors_Extent_of_conflict_of_interest_regulation_index_(0_10),Protecting_Minority_Investors_Extent_of_disclosure_index_(0_10),Protecting_Minority_Investors_Extent_of_director_liability_index_(0_10),Protecting_Minority_Investors_Ease_of_shareholder_suits_index_(0_10),Protecting_Minority_Investors_Ease_of_shareholder_suits_index_(0_10)_old_methodology,Protecting_Minority_Investors_Extent_of_shareholder_governance_index_(0_10),Protecting_Minority_Investors_Extent_of_shareholder_rights_index_(0_10),Protecting_Minority_Investors_Extent_of_ownership_and_control_index_(0_10),Protecting_Minority_Investors_Extent_of_corporate_transparency_index_(0_10),Paying_Taxes_Rank,Paying_Taxes_Postfiling_index_(0_100),Paying_Taxes_DTF,Paying_Taxes_Payments_(number_per_year),Paying_Taxes_Time_(hours_per_year),Paying_Taxes_Total_tax_rate_(%_of_profit),Paying_Taxes_Profit_tax_(%_of_profit),Paying_Taxes_Labor_tax_and_contributions_(%_of_profit),Paying_Taxes_Other_taxes_(%_of_profit),Paying_Taxes_Administrative_appeal_process,Trading_across_Borders_Rank,Trading_across_Borders_DTF,Trading_across_Borders_Time_to_export:_Border_compliance_(hours),Trading_across_Borders_Cost_to_export:_Border_compliance_(USD),Trading_across_Borders_Time_to_export:_Documentary_compliance_(hours),Trading_across_Borders_Cost_to_export:_Documentary_compliance_(USD),Trading_across_Borders_Time_to_import:_Border_compliance_(hours),Trading_across_Borders_Cost_to_import:_Border_compliance_(USD),Trading_across_Borders_Time_to_import:_Documentary_compliance_(hours),Trading_across_Borders_Cost_to_import:_Documentary_compliance_(USD),Trading_across_Borders_Documents_to_export_(number)_old_methodology,Trading_across_Borders_Time_to_export_(days)_old_methodology,Trading_across_Borders_Cost_to_export_(US$_per_container)_old_methodology,Trading_across_Borders_Documents_to_import_(number)_old_methodology,Trading_across_Borders_Time_to_import_(days)_old_methodology,Trading_across_Borders_Cost_to_import_(US$_per_container)_old_methodology,Enforcing_Contracts_Rank,Enforcing_Contracts_DTF,Enforcing_Contracts_Time_(days),Enforcing_Contracts_Cost_(%_of_claim),Enforcing_Contracts_Quality_of_judicial_processes_index_(0_18),Resolving_Insolvency_Rank,Resolving_Insolvency_DTF,Resolving_Insolvency_Recovery_rate_(cents_on_the_dollar),Resolving_Insolvency_Time_(years),Resolving_Insolvency_Cost_(%_of_estate),Resolving_Insolvency_Outcome_(0_as_piecemeal_sale_and_1_as_going_concern),Resolving_Insolvency_Strength_of_insolvency_framework_index_(0_16),Resolving_Insolvency_Commencement_of_proceedings_index_(0_3),Resolving_Insolvency_Management_of_debtor's_assets_index_(0_6),Resolving_Insolvency_Reorganization_proceedings_index_(0_3),Resolving_Insolvency_Creditor_participation_index_(0_4)
Afghanistan,South Asia,Low income,DB2017,183,38.1,42,92.08,3,7,19.9,4,8,19.9,0,186,22.39,13,356,82.7,2.5,0.5,1,0,0,1,0,159,45.04,6,114,2274.7,0,0,1,1,0,0,0,16.8,186,27.5,9,250,5,3,0,0,0,3,0,101,45,9,,0,,0.8,0,189,11.67,1.2,,1.7,1,1,3,,0.7,0,0,2,163,0.5,51.29,20,275,48.3,0,0,36.3,N/A,175,30.63,48,453,228,344,96,750,324,900,,,,,,,180,31.76,1642,29,5,159,23.62,26.5,2,25,0,3,2,0,0,1
Afghanistan,South Asia,Low income,DB2016,182,38.42,38,92.19,3,7,19,4,8,19,0,185,22.39,13,356,76.6,2.5,0.5,1,0,0,1,0,157,45.51,6,114,2124,0,0,1,1,1,0,0,17.6,185,27.5,9,250,5,3,0,0,0,3,N/A,97,45,9,,0,,0.5,0,189,11.67,1.2,,1.7,1,1,3,,0.7,0,0,2,150,0.4,55.64,20,275,36.5,0,0,36.3,,176,28.9,48,511,243,344,96,850,336,900,,,,,,,180,31.76,1642,29,5,161,23.62,26.5,2,25,0,3,2,0,0,1
Afghanistan,South Asia,Low income,DB2015,,40.5,,92.68,3,7,15.1,4,8,15.1,0,,22.39,13,356,74.4,2.5,0.5,1,0,0,1,0,,45.63,6,114,2084,0,0,1,1,1,0,0,18.6,,27.5,9,250,5,3,0,0,0,3,,,45,9,,0,,0,0,,11.67,1.2,,1.7,1,1,3,1,0.7,0,0,2,,,74.04,20,275,36.5,0,0,36.3,,,28.9,48,511,243,344,96,850,336,900,10,86,5045,10,91,5680,,33.61,1642,29,6,,23.6,26.4,2,25,0,3,2,0,0,1
Afghanistan,South Asia,Low income,DB2014,,40.78,,93.27,3,5,14.4,4,6,14.4,0,,24.3,13,356,83.8,,,,,,,,,59.67,6,114,2368.5,,,,,,,,,,33.33,9,250,5,,,,,,,,43.75,9,7,0,0,0,0,,10,1.2,1,1.7,1,1,3,1,0.7,0,0,2,,,74.39,20,275,35.8,0,0,,,,10.76,,,,,,,,,10,81,4645,10,85,5180,,29.79,1642,29,,,23.62,26.5,,25,0,3,2,0,0,1
Afghanistan,South Asia,Low income,DB2013,,40.2,,90.28,4,7,22.5,5,8,22.5,0,,23.92,13,360,89.1,,,,,,,,,58.92,6,114,2550.7,,,,,,,,,,33.33,9,250,5,,,,,,,,37.5,,6,,0,0,0,,10,,1,,1,1,,1,,,,,,,73.91,20,275,36.8,,,,,,16.97,,,,,,,,,10,74,3545,10,77,3830,,28.75,1642,29,,,28.42,26.4,,25,0,,,,,
Afghanistan,South Asia,Low income,DB2012,,39.73,,89.87,4,7,25.8,5,8,25.8,0,,23.92,13,360,100.8,,,,,,,,,57.41,6,114,2917.8,,,,,,,,,,33.33,9,250,5,,,,,,,,37.5,,6,,0,0,0,,10,,1,,1,1,,1,,,,,,,73.91,20,275,36.8,,,,,,14.1,,,,,,,,,10,74,3545,10,77,3830,,28.75,1642,29,,,28.49,26.5,,25,0,,,,,
Afghanistan,South Asia,Low income,DB2011,,37.41,,89.75,4,7,26.7,5,8,26.7,0,,23.92,13,360,107.2,,,,,,,,,37.66,5,196,6179.7,,,,,,,,,,33.33,9,250,5,,,,,,,,37.5,,6,,0,0,0,,10,,1,,1,1,,1,,,,,,,73.91,20,275,36.8,,,,,,11.26,,,,,,,,,10,74,3545,10,77,3830,,28.75,1642,29,,,28,26,,25,,,,,,
Afghanistan,South Asia,Low income,DB2010,,40.14,,89.32,4,7,30.2,5,8,30.2,0,,23.92,13,360,121.6,,,,,,,,,58.57,4,424,618.2,,,,,,,,,,35.56,9,250,4,,,,,,,,37.5,,6,,0,0,0,,10,,1,,1,1,,1,,,,,,,73.91,20,275,36.8,,,,,,17.71,,,,,,,,,10,74,3030,10,77,3000,,28.75,1642,29,,,26.16,24.3,,25,,,,,,
Afghanistan,South Asia,Low income,DB2009,,,,85.16,4,9,59.5,5,10,59.5,0,,23.92,13,360,140.9,,,,,,,,,,,,,,,,,,,,,,28.89,9,250,7,,,,,,,,6.25,,1,,0,0,0,,10,,1,,1,1,,1,,,,,,,73.91,20,275,36.8,,,,,,20.47,,,,,,,,,10,74,2680,10,77,2600,,28.75,1642,29,,,26.16,24.3,,25,,,,,,
Afghanistan,South Asia,Low income,DB2008,,,,82.01,4,9,84.6,5,10,84.6,0,,23.92,13,360,200.5,,,,,,,,,,,,,,,,,,,,,,28.89,9,250,7,,,,,,,,6.25,,1,,0,0,0,,10,,1,,1,1,,1,,,,,,,73.91,20,275,36.8,,,,,,20.65,,,,,,,,,10,67,2180,10,71,2100,,28.75,1642,29,,,27.07,25.1,,25,,,,,,
Afghanistan,South Asia,Low income,DB2007,,,,84.17,4,9,67.4,5,10,67.4,0,,23.92,13,360,193,,,,,,,,,,,,,,,,,,,,,,23.33,11,252,7,,,,,,,,6.25,,1,,0,0,0,,10,,1,,1,1,,1,,,,,,,75.58,17,275,36.8,,,,,,18.97,,,,,,,,,10,67,2180,10,71,2100,,28.75,1642,29,,,0,0,N/A,N/A,N/A,,,,,
Afghanistan,South Asia,Low income,DB2006,,,,83.19,4,9,75.2,5,10,75.2,0,,23.92,13,360,208.5,,,,,,,,,,,,,,,,,,,,,,23.33,11,252,7,,,,,,,,6.25,,1,,0,0,0,,10,,1,,1,1,,1,,,,,,,75.58,17,275,36.8,,,,,,16.22,,,,,,,,,10,67,2180,10,80,2100,,28.75,1642,29,,,0,0,N/A,N/A,N/A,,,,,
